dataset,overall_accuracy,kappa,f1_score,recall,precision,cm_00,cm_01,cm_10,cm_11
Sentinel-2_SR,0.9734708916728076,0.946364990783061,"[0.9703703703703704, 0.9759839893262173]",0.9637681159420289,0.9885135135135135,1179,17,55,1463
Sentinel-2_TOA,0.9473490427098674,0.8942485095222846,"[0.9429597128041484, 0.9511111111111111]",0.9163372859025033,0.9886282871357498,1182,16,127,1391
Landsat,0.9198813056379822,0.8380509694927246,"[0.9105219552609776, 0.9274680993955675]",0.9115511551155115,0.9439507860560492,1099,82,134,1381
